home_team,count
Brazil,1023
Argentina,989
Germany,798
Mexico,707
France,667
Netherlands,656
Spain,654
Chile,636
Belgium,600
Italy,584
United States,563
England,554
Portugal,551
Hungary,544
Australia,538
Uruguay,526
Sweden,521
Austria,506
Bolivia,502
Denmark,484
Russia,478
Bulgaria,461
Switzerland,458
Poland,457
Luxembourg,451
Romania,447
Turkey,435
Scotland,429
Costa Rica,424
Paraguay,420
Peru,406
Republic of Ireland,401
Ecuador,401
South Korea,398
Finland,398
Colombia,394
Greece,387
Cyprus,387
Norway,384
Israel,381
Japan,379
Egypt,376
Wales,359
Saudi Arabia,350
Northern Ireland,348
Malta,342
Honduras,337
Iran,334
San Marino,334
Cameroon,326
Nigeria,317
Estonia,317
Iceland,313
Venezuela,306
Latvia,305
New Zealand,305
El Salvador,302
Czech Republic,299
China PR,297
Croatia,297
Qatar,282
Ivory Coast,277
Algeria,270
Albania,269
Lithuania,268
Faroe Islands,265
Ghana,258
Czechoslovakia,257
Serbia,255
Slovakia,254
Canada,252
United Arab Emirates,249
Iraq,246
Tunisia,246
Liechtenstein,244
Morocco,239
Slovenia,237
Guatemala,236
Trinidad and Tobago,230
North Macedonia,229
Bosnia and Herzegovina,227
Armenia,222
Jamaica,222
Yugoslavia,212
Moldova,203
Andorra,202
Zambia,199
DR Congo,198
Ukraine,198
Kazakhstan,197
Kuwait,197
Haiti,195
Panama,194
Uzbekistan,191
Belarus,191
Georgia,188
Syria,183
Azerbaijan,177
Thailand,172
Burkina Faso,167
South Africa,159
Guinea,155
German DR,154
Bahrain,152
Senegal,151
Hong Kong,144
North Korea,142
Fiji,137
Solomon Islands,134
Cuba,132
Gibraltar,129
Congo,129
Oman,128
Indonesia,127
Jordan,126
Ethiopia,123
Angola,122
Malaysia,122
Singapore,122
Mali,120
Montenegro,117
Sudan,112
Lebanon,111
Saint Vincent and the Grenadines,104
Gabon,100
Kenya,99
Togo,97
Libya,97
Tahiti,95
New Caledonia,95
Maldives,93
Zimbabwe,91
Bangladesh,87
Turkmenistan,87
Vietnam,85
Malawi,83
Yemen,83
India,80
Macau,80
Suriname,78
Taiwan,77
Tajikistan,76
Namibia,75
Saint Kitts and Nevis,74
Vanuatu,73
Kosovo,73
Liberia,71
Pakistan,69
Kyrgyzstan,69
Grenada,68
Benin,67
Cambodia,67
Bermuda,65
Madagascar,64
Palestine,61
Antigua and Barbuda,61
Rwanda,60
Sierra Leone,59
Tanzania,58
Curaçao,56
Guyana,55
Samoa,54
Cape Verde,54
Uganda,53
Mozambique,52
Niger,52
Nepal,52
Laos,50
Dominican Republic,49
Equatorial Guinea,49
Botswana,47
Sri Lanka,47
Papua New Guinea,46
United States Virgin Islands,45
Aruba,44
Dominica,43
Djibouti,43
Nicaragua,42
Philippines,42
Myanmar,40
Belize,40
Saint Lucia,40
American Samoa,40
Cayman Islands,38
Barbados,38
Puerto Rico,37
Mauritius,37
Brunei,36
Montserrat,36
Turks and Caicos Islands,34
Bahamas,34
Mauritania,33
Gambia,33
Afghanistan,32
Tonga,31
Guinea-Bissau,27
Guam,24
Chad,24
Burundi,23
Seychelles,23
Lesotho,22
Bhutan,21
British Virgin Islands,21
Martinique,19
Guadeloupe,18
Cook Islands,18
Mongolia,18
Anguilla,17
Eswatini,15
Timor-Leste,15
Central African Republic,13
São Tomé and Príncipe,10
Comoros,8
Eritrea,7
French Guiana,6
Somalia,5
Yemen DPR,5
Vietnam Republic,4
South Sudan,4
Saarland,4
