tournament,count
Friendly,17978
FIFA World Cup qualification,8169
UEFA Euro qualification,2824
African Cup of Nations qualification,2124
FIFA World Cup,964
Copa América,873
African Cup of Nations,793
AFC Asian Cup qualification,764
CECAFA Cup,620
CFU Caribbean Cup qualification,606
Merdeka Tournament,595
British Home Championship,517
UEFA Nations League,474
AFC Asian Cup,421
Gulf Cup,395
Gold Cup,389
UEFA Euro,388
Island Games,379
Asian Games,368
COSAFA Cup,354
CONCACAF Nations League,314
AFF Championship,291
Nordic Championship,283
CFU Caribbean Cup,251
King's Cup,243
Amílcar Cabral Cup,235
Muratti Vase,220
South Pacific Games,205
Southeast Asian Games,182
CONCACAF Championship,169
UNCAF Cup,164
SAFF Cup,162
Korea Cup,159
CONCACAF Championship qualification,151
Arab Cup,144
Oceania Nations Cup,141
Confederations Cup,140
EAFF Championship,128
Central European International Cup,126
CCCF Championship,123
WAFF Championship,114
Indian Ocean Island Games,110
Baltic Cup,102
CONIFA World Football Cup,101
Windward Islands Tournament,101
AFC Challenge Cup,100
AFC Challenge Cup qualification,92
Nehru Cup,89
Balkan Cup,87
Indonesia Tournament,75
Kirin Cup,75
Pacific Games,75
Gold Cup qualification,74
Cyprus International Tournament,70
All-African Games,70
UDEAC Cup,70
Southeast Asian Peninsular Games,68
CONCACAF Nations League qualification,68
South Asian Games,68
Central American and Caribbean Games,63
AFF Championship qualification,62
Oceania Nations Cup qualification,61
Africa Cup of Nations qualification,60
Vietnam Independence Cup,60
Viva World Cup,60
Palestine Cup,58
African Friendship Games,55
West African Cup,54
Malta International Tournament,53
CONIFA European Football Cup,49
Olympic Games,46
Coupe de l'Outre-Mer,42
South Pacific Mini Games,39
Pan American Championship,39
USA Cup,37
Brazil Independence Cup,37
United Arab Emirates Friendship Tournament,31
Far Eastern Championship Games,30
Copa Chevallier Boutell,29
Dynasty Cup,29
Copa Lipton,28
COSAFA Cup qualification,27
Copa Newton,26
Merlion Cup,25
Lunar New Year Cup,25
FIFA Series,24
Arab Cup qualification,24
Copa Roca,23
Copa Paz del Chaco,23
Kirin Challenge Cup,22
Prime Minister's Cup,22
ABCS Tournament,20
Copa del Pacífico,19
Inter Games Football Tournament,19
Copa Rio Branco,18
Simba Tournament,17
East Asian Games,17
Jordan International Tournament,17
ELF Cup,16
Copa Juan Pinto Durán,16
Copa Carlos Dittborn,16
Copa Oswaldo Cruz,16
Pacific Mini Games,15
Millennium Cup,15
UNIFFAC Cup,15
Copa Premio Honor Uruguayo,15
Kuneitra Cup,15
Dunhill Cup,15
Nile Basin Tournament,14
Intercontinental Cup,14
GaNEFo,14
Copa Artigas,13
Copa Premio Honor Argentino,12
MSG Prime Minister's Cup,12
Miami Cup,12
King Hassan II Tournament,12
Tournament Burkina Faso,11
Bolivarian Games,11
Rous Cup,11
Atlantic Cup,11
SKN Football Festival,11
Beijing International Friendship Tournament,10
Copa Bernardo O'Higgins,10
FIFI Wild Cup,10
Tournoi de France,10
CAFA Nations Cup,10
VFF Cup,9
Four Nations Tournament,8
Marlboro Cup,8
Superclásico de las Américas,8
Mahinda Rajapaksa Cup,7
Tri Nation Tournament,7
Mundialito,7
Peace Cup,6
Nations Cup,6
Tynwald Hill Tournament,6
NAFC Championship,6
Copa Ramón Castilla,6
Copa Félix Bogado,6
CONIFA World Football Cup qualification,5
Mauritius Four Nations Cup,5
Dragon Cup,4
Afro-Asian Games,4
CONIFA Asia Cup,4
CONIFA Africa Football Cup,4
Navruz Cup,4
Joe Robbie Cup,4
Matthews Cup,4
Scania 100 Tournament,4
NAFU Championship,4
OSN Cup,4
Corsica Cup,4
Guangzhou International Friendship Tournament,4
Dakar Tournament,4
Great Wall Cup,4
Three Nations Cup,3
Hungary Heritage Cup,3
World Unity Cup,3
Niamh Challenge Cup,3
CONMEBOL–UEFA Cup of Champions,3
CONIFA South America Football Cup,3
Phillip Seaga Cup,3
Marianas Cup,2
Copa América qualification,2
Atlantic Heritage Cup,2
Cup of Ancient Civilizations,2
Real Madrid 75th Anniversary Cup,1
Open International Championship,1
The Other Final,1
FIFA 75th Anniversary Cup,1
TIFOCO Tournament,1
Copa Confraternidad,1
ConIFA Challenger Cup,1
Évence Coppée Trophy,1
Benedikt Fontana Cup,1
